time,username,message
109,rijurx01,jynxziChampion
109,xflawwwz,gift me plz
109,zezo156_ttv,same
109,angejk157,Jinky
109,ldh2013,7
109,rare_vevo,7
109,Nightbot,gifting you luck in finding a job 🙏🏻
110,blxntslxt_,fart poop
110,yung6ginga9,jeager black ice
110,O_JONYBOI,same
110,Stolas1221,77
110,hyper71507,!wathtime
110,wyatt1292013,I’m good gng
110,nomemeslol656,play phas again
110,Dioritexz,yooo bro
110,littlekumquat69,"littlekumquat69 subscribed at Tier 1. They've subscribed for 14 months, currently on a 14 month streak! late"
112,hahahahahah2158,6
112,Foxyguy41235,7
112,mysticfv3,buy my charm for 700
112,seanirvine2323,ily ily
112,trujelly720,late btw
112,hristijanbtw,would
112,stacywebb89,love u junky
112,l3vi_sama,PowerUpL jynxziFAT PowerUpR
112,ihy_uni,ihy_uni subscribed with Prime. They've subscribed for 8 months! love yu
112,retro_clps,LET ME FONDLE YOUR CHEEKS
112,sif_freezing210000,777777
112,sx1arrrr,@Jynxzi spoit is playing with viper
112,itzzz_asher,let me eat your feet
112,pocketspregnant,im gunna touch u
112,daunt0_0,wsg daddy
113,snzhhhx,Wwww
113,SOJUSTQUITJR,77777777
113,lyric_david,7
113,mnionepumped,Jynxzi your a w streamer keep going to your journey
113,a1xzx,7
113,opkt2xx,Daddy
113,z_rules,can u stream on YouTube my phone gonna die???
113,sluunky,"no god first, god bless sign off yesterday??"
113,rnoadmPerson,imma stroke it at tier 1
113,luxrttv,CAN I HAVE SUBBB
113,atuamal4,Yo
113,kleenyera,7
113,srt_glyzo1,Late
113,braybray133,suck me baby
113,codester6996,YESSSSSS DADDY IS NBACK
114,jai2faded,why u so fat today
114,tweezys_,spoit taking your girl
114,HolyDemotic,hump me
114,ttvjs916,77777
114,massenzzzz,big pp
114,louisosa123,8
114,harry_1jk,bathtub water?
115,ryland__ttv,7 fatty
115,IncrediBowJay,7jynxzi7
115,Iandomeow,7
115,oSvxzy,Gooner
115,movingnas,77777777777777777777
115,stef_r6,u looking extra sexy 😉
